EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
C玭 1			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
C玭 2			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
C玭 3			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ki誱 1			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ki誱 2			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ki誱 3			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ch飝 1			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ch飝 2			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ch飝 3			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
竚 kh? 			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Ki誱 4			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Ki誱 5			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
?ao 4			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
?ao 5			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Tr?阯g th?琻g 4			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Tr?阯g th?琻g 5			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
C玭 4			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
C玭 5			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ki誱 4			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ki誱 5			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ch飝 4			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song ch飝 5			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
?ao 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
?ao 7(Th駓)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
?ao 8(M閏)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
?ao 9(Th?)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Ki誱 6(Th駓)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Ki誱 7(Th?)			"120,8,1"	"120,8,1"	"88,8,1"	"88,8,1"							"120,8,1"	"120,8,1"	"120,8,1"						"88,8,1"	"88,8,1"	"88,8,1"						"72,8,1"	"64,8,1"						"96,8,1"	"88,8,1"						"144,8,1"	"128,8,1"	"112,8,1"												"96,8,1"	"96,8,1"						"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Th?琻g 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Th?琻g  7(H醓)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
C玭 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
C玭 7(H醓)			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song Ki誱 6(Th駓)			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
Song Ch飝 6(Kim)			"120,8,1"	"120,8,1"	"88,8,1"			"88,8,1"					"120,8,1"	"120,8,1"			"120,8,1"				"88,8,1"	"88,8,1"			"88,8,1"				"72,8,1"			"96,8,1"				"96,8,1"			"144,8,1"				"144,8,1"					"128,8,1"	"96,8,1"								"96,8,1"			"128,8,1"				"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双缠手-金			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双缠手-水			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双缠手-木			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
双缠手-火			"120,8,1"	"120,8,1"	"88,8,1"								"120,8,1"	"120,8,1"							"88,8,1"	"88,8,1"							"72,8,1"							"96,8,1"							"144,8,1"													"128,8,1"	"96,8,1"							"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长棍-金棍			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
长棍-火棍			"120,8,1"	"120,8,1"	"88,8,1"		"88,8,1"						"120,8,1"	"120,8,1"		"120,8,1"					"88,8,1"	"88,8,1"		"88,8,1"					"72,8,1"		"56,8,1"					"96,8,1"		"120,8,1"					"144,8,1"			"96,8,1"	"96,8,1"										"96,8,1"		"104,8,1"					"72,8,1"	"160,8,1"	"112,8,1"	"96,8,1"	"80,8,1"	"96,8,1"	"112,8,1"	"96,8,1"	"48,8,1"	"112,8,1"	"112,8,1"	"112,8,1"
