Name	ItemGenre	DetailType	ParticularType	Image	ObjDrop	Width	Height	Descript	Series	Price	Level	Magic1	Min1	Max1	Magic2	Min2	Max2	Magic3	Min3	Max3	Magic4	Min4	Max4	Magic5	Min5	Max5	Magic6	Min6	Max6	Magic7	Min7	Max7	Require1	Data1	Require2	Data2	Require3	Data3	Require4	Data4	Require5	Data5	Require6	Data6	DefMagic1_0	DefMagic1_10	DefMagic2_0	DefMagic2_10	DefMagic3_0	DefMagic3_10	DefMagic4_0	DefMagic4_10	DefMagic5_0	DefMagic5_10	DefMagic6_0	DefMagic6_10	Group	NeedToActive1	NeedToActive2	SetId	ExpandMagic1	ExpandMagic2
[Thiªn Tø] H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	3	49999	10	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			4	5	5	4	879	878
[Thiªn Tø] H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ B¹ch Kim	1	49999	10	30	160	160	31	80	80																36	120	32	135	39	1							2	616	320	588	192	192	419	638	319	678	190	190	4	5	5	5	846	855
[Thiªn Tø] KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Trang bÞ B¹ch Kim	2	49999	10	28	18	18	29	158	158	167	30	30	31	99	99										36	120	32	165	33	165	39	1					57	620	51	625	46	592	69	593	110	111	73	73	5	5	5	1	766	767
[Thiªn Tø] KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ B¹ch Kim	0	49999	10	30	720	720	31	90	90																36	120	32	260	39	1							2	616	40	675	185	185	79	311	685	319	686	686	5	5	5	2	848	854
[Thiªn Tø] KÕ NghiÖp B¹ch Hæ V« Song KhÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	188	188	311	598	416	641	156	156	5	5	5	3	778	810
[Thiªn Tø] KÕ NghiÖp Háa V©n Kú L©n Thñ	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ B¹ch Kim	3	49999	10	30	135	135	31	80	80																36	120	32	110	39	1							129	129	130	130	747	739	748	740	741	749			5	5	5	4	881	880
[Thiªn Tø] KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ B¹ch Kim	1	49999	10	30	160	160	31	80	80																36	120	32	135	39	1							2	2	104	104	189	189	311	311	319	319	186	186	5	5	5	5		
[Thiªn Tø] Ngù Long L­îng Ng©n B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	1							57	620	52	625	46	592	69	593	110	111	73	73	6	5	5	1	766	767
[Thiªn Tø] Ngù Long ChiÕn ThÇn Phi Qu¸i Gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	0	49999	10																						36	120	39	1									2	616	438	88	79	311	107	107	280	280	711	687	6	5	5	2	849	856
[Thiªn Tø] Ngù Long Thiªn M«n Thóc Yªu Hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	30	160	160	31	80	80																36	120	32	135	39	1							2	616	309	639	182	182	311	598	416	641	156	156	6	5	5	3	780	812
[Thiªn Tø] Ngù Long TÊn Phong Hé YÓn	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	28	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	135	135	31	80	80																36	120	32	110	39	1							2	2	327	327	183	183	311	311	319	319	181	181	6	5	5	4		
[Thiªn Tø] Ngù Long TuyÖt MÖnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	1									129	129	130	130	747	739	748	740	741	749			6	5	5	5	883	882
[Thiªn Tø] V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Trang bÞ B¹ch Kim	0	49999	10	28	46	46	29	86	86	167	0	0	31	99	99										36	120	32	110	39	4							2	616	43	43	48	592	71	593	113	595	157	157	7	5	5	1	766	767
[Thiªn Tø] V« Gian Thanh Phong NhuyÔn Lý	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	720	720	31	90	90																36	120	32	260	39	4							2	2	306	306	193	193	317	317					7	5	5	2		
[Thiªn Tø] V« Gian PhËt V©n Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	160	160	31	80	80																36	120	32	135	39	4							418	4	309	639	196	196	307	637	6	609	425	643	7	5	5	3	786	818
[Thiªn Tø] V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ B¹ch Kim	1	49999	10	30	135	135	31	80	80																36	120	32	110	39	4							2	616	329	329	439	682	307	637	6	609	328	328	7	5	5	4	846	862
[Thiªn Tø] V« Gian B¹ch Ngäc Bµn ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			7	5	5	5	879	878
[Thiªn Tø] V« Ma Ma Ni Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	315	315	31	85	85																36	120	32	110	39	4							2	616	307	637	420	640	309	639	6	609	427	628	8	5	5	1	787	819
[Thiªn Tø] V« Ma Thu Thñy L­u Quang §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	30	630	630	31	90	90																36	120	32	135	39	4							2	2	306	306	6	6	317	317					8	5	5	2		
[Thiªn Tø] V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	4	49999	10	31	80	80																			36	120	39	4									129	129	130	130	747	739	748	740	743	751			8	5	5	3	881	880
[Thiªn Tø] V« Ma TÈy T­îng Ngäc KhÊu	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	31	60	60																			36	120	39	4									146	632	304	304	57	621	322	313	198	198	200	200	8	5	5	4	769	801
[Thiªn Tø] V« Ma Hång Truy NhuyÔn Th¸p Hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ B¹ch Kim	1	49999	10	30	140	140	31	80	80																36	120	32	110	39	4							146	717	320	588	199	199	88	419	8	612	330	330	8	5	5	5	848	863
[Thiªn Tø] V« TrÇn Ngäc N÷ Tè T©m Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ B¹ch Kim	3	49999	10	30	315	315	31	85	85																36	120	32	110	39	4							418	418	309	309	197	197	312	312	421	421	420	420	9	5	5	1		
[Thiªn Tø] V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	4									2	2	88	88	331	331	95	95	8	8	107	107	9	5	5	2		
[Thiªn Tø] V« TrÇn Tõ Bi Ngäc Ban ChØ	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10																						36	120	39	4									129	129	130	130	747	739	748	740	743	751			9	5	5	3	883	882
[Thiªn Tø] V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	4									4	4	158	158	6	6	332	332					9	5	5	4		
[Thiªn Tø] V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10	31	80	80																			36	120	39	4									2	2	419	419	6	6	203	203	417	417	115	115	9	5	5	5		
[Thiªn Tø] Tª Hoµng Phông Nghi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	0	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	5							2	616	43	43	48	592	71	593	113	595	159	159	10	5	5	1	766	767
[Thiªn Tø] Tª Hoµng TuÖ T©m Khinh Sa Y	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	30	720	720	31	90	90																36	120	32	260	39	5							2	2	306	306	207	207	317	317					10	5	5	2		
[Thiªn Tø] Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	160	160	31	80	80																36	120	32	135	39	5							2	616	309	639	206	206	307	637	6	609	773	689	10	5	5	3	788	820
[Thiªn Tø] Tª Hoµng B¨ng Tung CÈm Uyªn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ B¹ch Kim	1	49999	10	30	135	135	31	80	80																36	120	32	110	39	5							2	616	333	333	439	682	307	637	6	609	204	204	10	5	5	4	846	864
[Thiªn Tø] Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			10	5	5	5	879	878
[Thiªn Tø] BÝch H¶i Uyªn ¦¬ng Liªn Hoµn §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd15.spr	14	2	3	Trang bÞ B¹ch Kim	2	49999	10	28	62	62	29	92	92	167	20	20	31	99	99										36	120	32	160	39	5							4	619	304	304	209	209	148	633	8	612	159	159	11	5	5	1	770	802
[Thiªn Tø] BÝch H¶i Hoµn Ch©u Vò Liªn	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	Trang bÞ B¹ch Kim	2	49999	10																						36	120	39	5									2	2	95	95	6	6	107	107	88	88	211	211	11	5	5	2		
[Thiªn Tø] BÝch H¶i Hång Linh Kim Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	30	140	140	31	80	80																36	120	32	110	39	5							2	616	309	639	210	210	419	638	421	8	422	422	11	5	5	3	789	821
[Thiªn Tø] BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10	31	60	60																			36	120	39	5									146	632	296	689	418	4	39	39	322	313	282	282	11	5	5	4	848	865
[Thiªn Tø] BÝch H¶i Tiªm TÕ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	5									129	129	130	130	747	739	748	740	743	751			11	5	5	5	881	880
[Thiªn Tø] U Lung Kim Xµ Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	1	49999	10	30	315	315	31	85	85																36	120	32	110	39	3							2	616	302	302	283	283	143	692	6	609	160	160	12	5	5	1	846	861
[Thiªn Tø] U Lung XÝch YÕt MËt Trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	2	49999	10	30	630	630	31	90	90																36	120	32	135	39	3							2	2	40	40	225	225	317	317	6	6	334	334	12	5	5	2		
[Thiªn Tø] U Lung Thanh Ng« TriÒn Yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ B¹ch Kim	0	49999	10	30	140	140	31	80	80																36	120	32	110	39	3							2	616	309	639	227	227	307	637	6	609	423	642	12	5	5	3	785	817
[Thiªn Tø] U Lung Ng©n ThiÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ B¹ch Kim	4	49999	10	30	111	111	31	80	80																36	120	32	90	39	3							129	129	130	130	747	739	748	740	742	750			12	5	5	4	879	878
[Thiªn Tø] U Lung MÆc Thï NhuyÔn Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	1	49999	10	30	140	140	31	60	60																36	120	32	50	39	3							1	615	127	589	60	622	103	587	614	613	229	229	12	5	5	5	771	803
[Thiªn Tø] Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Trang bÞ B¹ch Kim	2	49999	10	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	32	135	39	3							46	592	69	71	113	595	73	73	41	772	75	626	13	5	5	1	766	767
[Thiªn Tø] Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ B¹ch Kim	0	49999	10	30	720	720	31	90	90																36	120	32	260	39	3							418	694	336	336	306	695	307	637	6	609	417	31	13	5	5	2	848	860
[Thiªn Tø] Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ B¹ch Kim	4	49999	10																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			13	5	5	3	881	880
[Thiªn Tø] Minh ¶o Hñ Cèt Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ B¹ch Kim	3	49999	10	30	135	135	31	80	80																36	120	32	110	39	3							2	616	309	639	232	232	307	637	335	335	425	643	13	5	5	4	784	816
[Thiªn Tø] Minh ¶o Song Hoµn Xµ Hµi	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ B¹ch Kim	4	49999	10	30	160	160	31	80	80																36	120	32	135	39	3							2	2	104	104	335	335	336	336	6	6	231	231	13	5	5	5		
[Thiªn Tø] Chó Ph­îc Ph¸ Gi¸p §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	49999	10	30	315	315	31	85	85																36	120	32	110	39	3							2	2	337	337	6	6	307	307	233	233	31	31	14	5	5	1		
[Thiªn Tø] Chó Ph­îc DiÖt L«i C¶nh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ B¹ch Kim	3	49999	10																						36	120	39	3									2	2	93	93	234	234	95	95	8	8	107	107	14	5	5	2		
[Thiªn Tø] Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	3									129	129	130	130	747	739	748	740	742	750			14	5	5	3	883	882
[Thiªn Tø] Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ B¹ch Kim	2	49999	10	30	111	111	31	80	80																36	120	32	90	39	3							418	418	309	309	161	161	312	312	421	421	423	423	14	5	5	4		
[Thiªn Tø] Chó Ph­îc Thùc Cèt Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	Trang bÞ B¹ch Kim	3	49999	10	30	140	140	31	80	80																36	120	32	110	39	3							2	2	104	104	236	236	27	27	6	6	235	235	14	5	5	5		
[Thiªn Tø] B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart28.spr	15	1	1	Trang bÞ B¹ch Kim	0	49999	10	28	44	44	29	100	100	167	-20	-20	31	99	99										36	120	32	90	33	110	39	2					2	617	44	44	46	592	69	593	113	595	162	162	15	5	5	1	766	767
[Thiªn Tø] B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ B¹ch Kim	4	49999	10	30	720	720	31	90	90																36	120	32	110	33	165	39	2					418	694	338	338	306	695	307	637	6	609	215	215	15	5	5	2	846	857
[Thiªn Tø] B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	4	309	639	212	212	307	637	6	609	423	642	15	5	5	3	781	813
[Thiªn Tø] B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			15	5	5	4	879	878
[Thiªn Tø] B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	160	160	31	80	80																36	120	32	90	33	110	39	2					2	2	104	104	214	214	338	338	6	6	213	213	15	5	5	5		
[Thiªn Tø] Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart29.spr	17	2	2	Trang bÞ B¹ch Kim	0	49999	10	28	46	46	29	102	102	167	0	0	31	99	99										36	120	32	65	33	230	39	2					8	611	43	43	48	592	71	594	113	595	162	162	16	5	5	1	766	767
[Thiªn Tø] Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ B¹ch Kim	4	49999	10																						36	120			39	2							2	616	317	307	212	212	107	107	8	697	214	214	16	5	5	2	848	859
[Thiªn Tø] Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	111	111	31	80	80																36	120	32	90	33	110	39	2					2	616	309	639	217	217	307	637	6	609	425	643	16	5	5	3	782	815
[Thiªn Tø] Thiªn Quang §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	135	135	31	80	80																36	120	32	75	33	90	39	2					2	2	339	339	437	437	317	317	6	6	216	216	16	5	5	4		
[Thiªn Tø] Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ B¹ch Kim	2	49999	10																						36	120			39	2							129	129	130	130	747	739	748	740	742	750			16	5	5	5	881	880
[Thiªn Tø] S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart27.spr	15	1	1	Trang bÞ B¹ch Kim	0	49999	10	28	42	42	29	98	98	167	0	0	31	99	99										36	120	32	90	33	110	39	2					4	618	43	43	48	592	71	594	113	595	162	162	17	5	5	1	766	767
[Thiªn Tø] S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	0	2	6	\spr\item\equip\armor\obj-ma-cloth20-1.spr	22	2	3	Trang bÞ B¹ch Kim	4	49999	10	30	720	720	31	90	90																36	120	32	110	33	165	39	2					4	4	306	306	212	212	317	317					17	5	5	2		
[Thiªn Tø] S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ B¹ch Kim	3	49999	10	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	4	309	639	219	219	307	637	6	609	423	642	17	5	5	3	783	814
[Thiªn Tø] S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			17	5	5	4	883	882
[Thiªn Tø] S©m Hoang Tinh VÉn Phi Lý	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ B¹ch Kim	2	49999	10	30	160	160	31	80	80																36	120	32	90	33	110	39	2					418	694	340	340	320	588	307	637	6	609	214	214	17	5	5	5	849	858
[Thiªn Tø] §Þa Ph¸ch Ngò Hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bÞ B¹ch Kim	4	49999	10	30	315	315	31	85	85																36	120	32	110	39	2							418	418	341	341	437	437	307	307	6	6	224	224	18	5	5	1		
[Thiªn Tø] §Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ B¹ch Kim	3	49999	10																						36	120	39	2									1	1	222	222	221	221	95	95	8	8	107	107	18	5	5	2		
[Thiªn Tø] §Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ B¹ch Kim	1	49999	10																						36	120	39	2									129	129	130	130	747	739	748	740	742	750			18	5	5	3	885	884
