ID	HEAD
746	2066
747	2066
748	2067
749	2067
750	2058
751	2058
752	2058
753	2059
754	2059
755	2059
756	2062
757	2062
758	2063
759	2063
760	2060
761	2060
762	2061
763	2061
764	2061
765	2065
766	2065
767	2064
768	2064
769	2066
770	2066
771	2067
772	2067
773	2058
774	2058
775	2058
776	2059
777	2059
778	2059
779	2062
780	2062
781	2063
782	2063
783	2060
784	2060
785	2061
786	2061
787	2061
788	2065
789	2065
790	2064
791	2064
792	2066
793	2066
794	2067
795	2067
796	2058
797	2059
798	2060
799	2061
800	2062
801	2063
802	2064
803	2065
804	2066
805	2067
806	
807	2058
808	2059
809	2060
810	2061
811	2062
812	2063
813	2064
814	2065
815	2066
816	2067
817	
818	2058
819	2059
820	2060
821	2061
822	2062
823	2063
824	2064
825	2065
826	2066
827	2067
828	
829	2058
830	2059
831	2060
832	2061
833	2062
834	2063
835	2064
836	2065
837	2066
838	2067
