PlatinaItem	OldLevel	MaxDurability	Comment
45	5	1000%	[天赐的]栖凰之凤仪刀
46	5	800	[天赐的]栖凰之慧心长生扣
47	5	1000%	[天赐的]栖凰之风雪白云束带
48	5	1000%	[天赐的]栖凰之冰踪锦腕
49	5	800	[天赐的]栖凰之翠玉指环
50	5	1000%	[天赐的]碧海之鸳鸯连环刀
51	5	1000%	[天赐的]碧海之环珠宣清巾
52	5	1000%	[天赐的]碧海之红铃金丝带
53	5	800	[天赐的]碧海之红铃波
54	5	800	[天赐的]碧海之纤细指环
55	5	1000%	[天赐的]幽胧之金蛇发带
56	5	1000%	[天赐的]幽胧之赤蝎秘装
57	5	1000%	[天赐的]幽胧之青蜈缠腰
58	5	1000%	[天赐的]幽胧之银蟾护手
59	5	1000%	[天赐的]幽胧之墨蛛软履
60	5	1000%	[天赐的]冥幻之邪刹毒刃
61	5	1000%	[天赐的]冥幻之幽蛊暗衣
62	5	800	[天赐的]冥幻之毒蝎指环
63	5	1000%	[天赐的]冥幻之腐骨护腕
64	5	1000%	[天赐的]冥幻之双环蛇扣
65	5	1000%	[天赐的]咒缚之破甲头环
66	5	800	[天赐的]咒缚之灭雷颈符
67	5	800	[天赐的]咒缚之幽幻指环
68	5	1000%	[天赐的]咒缚之穿心毒腕
69	5	800	[天赐的]咒缚之蚀骨玉佩
70	5	1000%	[天赐的]冰寒之弹指飞刀
71	5	1000%	[天赐的]冰寒之玄衣束甲
72	5	1000%	[天赐的]冰寒之心箭腰扣
73	5	800	[天赐的]冰寒之玄天冰火佩
74	5	1000%	[天赐的]冰寒之月影靴
75	5	1000%	[天赐的]天光之花雨漫天
76	5	800	[天赐的]天光之定心凝神符
77	5	1000%	[天赐的]天光之森罗束腰
78	5	1000%	[天赐的]天光之地行千里靴
79	5	800	[天赐的]天光之束天缚地环
80	5	1000%	[天赐的]森荒之飞星夺魂
81	5	1000%	[天赐的]森荒之金钱连环甲
82	5	1000%	[天赐的]森荒之魂咬腰束
83	5	800	[天赐的]森荒之玄铁镶玉佩
84	5	1000%	[天赐的]森荒之星陨飞履
85	5	1000%	[天赐的]地魄之五行连环冠
86	5	800	[天赐的]地魄之黑焰冲天链
87	5	800	[天赐的]地魄之霹雳雷火戒
88	5	1000%	[天赐的]地魄之扣心镯
89	5	1000%	[天赐的]地魄之风寒束腰
90	5	800	[天赐的]同仇之御龙玉佩
91	5	1000%	[天赐的]同仇之降龙丐衣
92	5	1000%	[天赐的]同仇之潜龙腰带
93	5	1000%	[天赐的]同仇之亢龙护手
94	5	800	[天赐的]同仇之见龙扳指
95	5	1000%	[天赐的]敌忾之绿玉杖
96	5	1000%	[天赐的]敌忾之九袋丐衣
97	5	1000%	[天赐的]敌忾之缠莽腰带
98	5	1000%	[天赐的]敌忾之狗脊皮护腕
99	5	800	[天赐的]敌忾之草间石戒
100	5	1000%	[天赐的]魔煞之鬼谷幽冥枪
101	5	1000%	[天赐的]魔煞之残阳映血甲
102	5	1000%	[天赐的]魔煞之赤骥锁腰扣
103	5	1000%	[天赐的]魔煞之举火燎天环
104	5	800	[天赐的]魔煞之云龙吐珠戒
105	5	1000%	[天赐的]魔煌之金甲盔
106	5	800	[天赐的]魔煌之按出虎项圈
107	5	1000%	[天赐的]魔煌之溪谷束腰带
108	5	1000%	[天赐的]魔煌之血衣兽镯
109	5	800	[天赐的]魔煌之熔金断日戒
110	5	1000%	[天赐的]魔嗜之烈焰冠冕
111	5	1000%	[天赐的]魔嗜之厉魔噬心带
112	5	800	[天赐的]魔嗜之业火幽冥戒
113	5	800	[天赐的]魔嗜之血玉七杀佩
114	5	1000%	[天赐的]魔嗜之山海飞鸿履
115	5	1000%	[天赐的]凌岳之太极剑
116	5	1000%	[天赐的]凌岳之无我束带
117	5	800	[天赐的]凌岳之怒雷法戒
118	5	800	[天赐的]凌岳之无极玄玉佩
119	5	800	[天赐的]凌岳之天地玄黄戒
120	5	1000%	[天赐的]及丰之真武剑
121	5	800	[天赐的]及丰之三清符
122	5	1000%	[天赐的]及丰之玄丝三段锦
123	5	1000%	[天赐的]及丰之翠玉玄黄腕
124	5	800	[天赐的]及丰之青松法戒
125	5	1000%	[天赐的]霜晶之千年寒铁
126	5	800	[天赐的]霜晶之流星赶月扣
127	5	1000%	[天赐的]霜晶之清风缕带
128	5	1000%	[天赐的]霜晶之天清冰晶手
129	5	800	[天赐的]霜晶之风暴指环
130	5	1000%	[天赐的]雷穹之寒松冰柏冠
131	5	800	[天赐的]雷穹之天地护符
132	5	1000%	[天赐的]雷穹之风雷青锦带
133	5	1000%	[天赐的]雷穹之灵玉蕴雷腕
134	5	800	[天赐的]雷穹之九天引雷戒
135	5	1000%	[天赐的]雾幻之北冥道冠
136	5	800	[天赐的]雾幻之太渊真武链
137	5	800	[天赐的]雾幻之束心指环
138	5	800	[天赐的]雾幻之清影玄玉佩
139	5	1000%	[天赐的]雾幻之松风雪影靴
