·û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þ·û	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	Ëµ·÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	MaxStack	Ò©Æ·ÊôÐÔ1	ÊôÐÔ1ÊýÖµ	ÊôÐÔ1Ê±¼ä(ÓÎÏ·Ñ­»·Êý£©	Ò©Æ·ÊôÐÔ2	ÊôÐÔ2ÊýÖµ	ÊôÐÔ2Ê±¼ä	Ò©Æ·ÊôÐÔ3	ÊôÐÔ3ÊýÖµ	ÊôÐÔ3Ê±¼ä	Ò©Æ·ÊôÐÔ4	ÊôÐÔ4ÊýÖµ	ÊôÐÔ4Ê±¼ä	Ò©Æ·ÊôÐÔ5	ÊôÐÔ5ÊýÖµ	ÊôÐÔ5Ê±¼ä
Thõa Tiªn MËt (tiÓu)	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi phôc håi chót Ýt Sinh lùc vµ Néi lùc		96	1	0	153	50	100	154	50	100									
Thõa Tiªn MËt (trung)	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi phôc håi nhanh Sinh lùc vµ Néi lùc		180	2	0	153	100	100	154	100	100									
Thõa Tiªn MËt (®¹i)	1	2	0	\spr\item\medecine\obj-potion12.spr	308	1	1	Phôc håi rÊt nhanh Sinh lùc vµ Néi lùc		420	3	0	153	150	200	154	150	200									
ThÊt KhiÕu Bæ T©m §an	1	2	0	\spr\item\medecine\obj-potion12.spr	308	1	1	Phôc håi rÊt nhanh Sinh lùc vµ Néi lùc		78	4	0	153	50	200	154	30	200									
Ngò Hoa Ngäc Lé Hoµn	1	2	0	\spr\item\medecine\obj-potion13.spr	311	1	1	§ång thêi phôc håi 5000 ®iÓm Sinh lùc vµ Néi lùc		4500	5	0	153	500	100	154	500	100									
Tam Hoa T¸n	1	3	0	\spr\item\medecine\obj-potion16.spr	19	1	1	Håi phôc chót Ýt thÓ lùc		50	1	0	96	5	100												
Ch©n Gµ	1	3	0	\spr\item\questkey\taskobj106.spr	41	1	1	Bæ sung khÝ huyÕt cho ng­êi sö dông		50	2	0	153	500	100												
BiÕn ChÊt Nguyªn B×nh	1	3	0	\spr\item\special\Ô¢±ý.spr	329	1	1	BiÕn chÊt lµm gi¶m Sinh lùc vµ Néi lùc		50	3	0	153	-10	100	154	-10	100									
Bæ Sung ThÓ Lùc	1	3	0	\spr\item\medecine\obj-potion17.spr	19	1	1	ThÇn d­îc Nam H¶i, hæi phôc 5000 thÓ lùc		100	4	0	96	20	100												
Bæ Sung ThÓ Lùc	1	3	0	\spr\item\medecine\obj-potion17.spr	19	1	1	ThÇn d­îc Nam H¶i, hæi phôc 5000 thÓ lùc		100	5	0	96	20	100												
Thanh Ng­u Gi¶i §éc T¸n	1	4	0	\spr\item\medecine\obj-potion23.spr	19	1	1	Gi¶i ®éc lo¹i nhá		80	1	10	109	500	200												
Ho¾c H­¬ng ChÝnh KhÝ T¸n	1	4	0	\spr\item\medecine\obj-potion24.spr	19	1	1	Gi¶i ®éc lo¹i trung		150	2	10	109	200	200												
Tam ThuÇn T¸n	1	4	0	\spr\item\medecine\obj-potion25.spr	19	1	1	Gi¶i ®éc lo¹i th­îng h¹ng		375	3	10	109	400	200												
Ng©n KiÒu khø ®éc ®an	1	4	0	\spr\item\medecine\obj-potion26.spr	19	1	1	Thuèc chuyªn ®Ó gi¶i ®éc		750	4	10	109	800	200												
Long Duyªn Gi¶i §éc §¬n	1	4	0	\spr\item\medecine\obj-potion27.spr	19	1	1	D­îc phÈm do Hoa §µ chÕ, gi¶i ®éc rÊt hiÖu qu¶		3000	5	10	109	1200	200												
B¸nh ch­ng Nh©n t¸o	1	5	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc		100	1	0	153	500	100												
Thiªn s¬n Håi ThÇn ®an	1	5	0	\spr\item\medecine\obj-potion30.spr	369	1	1	Tiªn s¬n b¶o d­îc, ®ång thêi håi phôc Sinh lùc vµ Néi lùc		2000	2	0	153	350	100	154	350	100									
B¸nh ch­ng Nh©n t¸o	1	5	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc		100	3	0	153	500	100												
B¸nh ch­ng Nh©n t¸o	1	5	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc		100	4	0	153	500	100												
B¸nh ch­ng Nh©n t¸o	1	5	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc		100	5	0	153	500	100												
Ngò hoa ngäc lé hoµn ®Æc biÖt	1	6	0	\spr\item\medecine\obj-potion13.spr	311	1	1	Tiªn ®¬n diÖu d­îc, kh«i phôc hoµn toµn sinh lùc vµ néi lùc trong nh¸y m¾t		12000	1	0	153	1000	100	154	500	100									
Cöu chuyÓn hoµn hån ®an ®Æc biÖt	1	6	0	\spr\item\medecine\obj-potion03.spr	310	1	1	Linh ®¬n diÖu d­îc, c¶i tö hoµn sinh. Phôc håi sinh lùc 10000 ®iÓm		8000	2	0	153	1000	100												
Tóc c©n tiÕp m¹ch t¸n	1	6	0	\spr\item\medecine\obj-potion31.spr	311	1	1	Lo¹i linh d­îc gióp c¶i tö hoµn sinh		100	3	0	153	1000	100	154	500	100									
Håi Thiªn T¸i T¹o §¬n	1	6	0	\spr\item\script\caiyao\htzzd.spr	311	1	1	Linh ®¬n ®­îc chÕ tõ kú d­îc, ®ång thêi håi phôc sinh lùc néi lùc nhiÒu nhÊt 6000 ®iÓm		100	4	0	153	750	80	154	750	80									
